Day,CageID,AnimalID,Character,Area,Deepness,Region,Score
3/4/21,1110371,1110371-3,2,2,1,1,6
3/22/21,1129955,1129955-1,1,1,1,1,4
3/22/21,1129955,1129955-2,1,1,1,3,6
3/29/21,1087850,1087850-1,1,1,1,1,4
4/5/21,1107884,1107884-2,3,1,1,3,8
4/5/21,1107884,1107884-3,3,3,1,2,9
4/5/21,1107884,1107884-4,3,2,1,2,8
4/12/21,1013967,1013967-1,3,3,1,2,9
4/12/21,1013967,1013967-2,1,1,1,3,6
4/15/21,1013967,1013967-1,3,3,1,2,9
4/15/21,1107884,1107884-2,1,1,1,3,6
4/15/21,1107884,1107884-4,3,3,1,3,10
4/15/21,1135836,1135836-1,3,2,1,3,9
5/31/21,1079189,1079189-1,2,2,1,3,8
6/14/21,1107884,1107884-1,1,1,1,3,6
6/14/21,1107884,1107884-2,2,3,1,1,7
6/14/21,1146520,1146520-1,2,1,1,1,5
7/6/21,1145400,1145400-1,1,0,1,1,3
7/8/21,1151629,1151629-1,3,2,1,3,9
8/7/21,1107884,1107884-1,1,0,1,1,3
9/8/21,1158337,1158337-1,1,0,1,1,3
8/19/21,1158337,1158337-1,0,0,1,1,2
8/30/21,1051972,1051972-1,3,3,3,3,12
9/27/21,1157487,1157487-1,2,2,1,1,6
9/29/21,1172161,1172161-1,3,3,1,3,10
10/14/21,1180873,1180873-1,3,3,1,3,10
10/14/21,1180873,1180873-2,3,1,1,3,8
10/14/21,1180873,1180873-3,3,0,1,3,7
10/14/21,1180873,1180873-4,1,1,1,3,6
10/14/21,1157487,1157487-1,3,2,1,1,7
11/15/21,1168799,1168799-1,1,1,2,1,5
11/29/21,1158334,1158334-1,1,1,1,1,4
12/9/21,1180881,1180881-1,1,1,1,1,4
12/9/21,1180881,1180881-2,1,1,1,1,4
12/9/21,1169346,1169346-1,1,1,1,1,4
12/16/21,1180881,1180881-1,1,1,1,1,4
12/16/21,1180881,1180881-2,1,1,1,1,4
7/12/21,1169346,1169346-1,1,1,1,1,4
7/12/21,1169346,1169346-2,1,1,1,1,4
12/15/21,1157487,1157487-1,3,2,1,3,9
12/15/21,1157487,1157487-2,1,1,1,1,4
12/27/21,1177651,1177651-1,1,1,1,1,4
12/27/21,1146520,1146520-1,1,1,1,1,4
1/7/22,1168799,1168799-1,1,1,1,1,4
2/4/22,1180873,1180873-1,1,1,1,1,4
1/3/22,1180881,1180881-1,3,2,1,1,7
1/3/22,1180881,1180881-2,3,2,1,3,9
3/20/21,1013967,1013967-1,1,1,1,1,4
3/22/21,1087850,1087850-1,1,1,1,1,4
3/26/21,1110371,1110371-1,1,1,1,1,4
9/1/21,1158335,1158335-1,1,1,3,1,6
