Cage,AnimalID,ds,DumCage,dom_status_ds
922587,922587-1,0.75,H,Dom
922587,922587-2,-0.75,H,Sub
927693,927693-1,0.8,D,Dom
927693,927693-2,-0.8,D,Sub
941702,941702-1,-1.75,A,Sub
941702,941702-2,1.75,A,Dom
941702,941702-3,1.11E-16,A,SubD
957162,957162-1,-0.244680851,G,Sub
957162,957162-2,0.244680851,G,Dom
1058108,1058108-1,1.304166667,B,SubD
1058108,1058108-2,1.3125,B,Dom
1058108,1058108-3,-2.616666667,B,Sub
1062366,1062366-1,-0.995901639,F,Sub
1062366,1062366-2,0.995901639,F,Dom
1064394,1064394-1,0.99375,E,Dom
1064394,1064394-2,-0.99375,E,Sub
1068572,1068572-1,-0.962740385,C,SubD
1068572,1068572-2,-1.796875,C,Sub
1068572,1068572-3,2.759615385,C,Dom
1074455,1074455-1,0.996389892,I,Dom
1074455,1074455-2,-0.996389892,I,Sub
990342,990342-1,0,J,Unm
990342,990342-2,0,J,Unm
1001363,1001363-1,0,K,Unm
1001363,1001363-2,0,K,Unm
925878,925878-1,0,L,Unm
925878,925878-2,0,L,Unm
