,Cage,Trt,Date,Date2,Hour,Behavior,n_prime,n,nadj,prop,Trt2,Behavioral.category
1,1001363,AFP,20200121,,20,Activity,0,15,15,100,Aged Females,Activity
2,1001363,AFP,20200121,,21,Activity,0,12,12,80,Aged Females,Activity
3,1001363,AFP,20200121,,22,Activity,0,9,9,60,Aged Females,Activity
4,1001363,AFP,20200121,,23,Activity,0,3,3,20,Aged Females,Activity
5,1001363,AFP,20200122,,00,Activity,0,3,3,20,Aged Females,Activity
6,1001363,AFP,20200122,,01,Activity,0,7,7,46.66666667,Aged Females,Activity
7,1001363,AFP,20200122,,02,Activity,0,15,15,100,Aged Females,Activity
8,1001363,AFP,20200122,,03,Activity,0,2,2,13.33333333,Aged Females,Activity
9,1001363,AFP,20200122,,04,Activity,0,10,10,66.66666667,Aged Females,Activity
10,1001363,AFP,20200122,,05,Activity,0,7,7,46.66666667,Aged Females,Activity
11,1001363,AFP,20200122,,20,Activity,0,15,15,100,Aged Females,Activity
12,1001363,AFP,20200122,,21,Activity,0,12,12,80,Aged Females,Activity
13,1001363,AFP,20200122,,22,Activity,0,7,7,46.66666667,Aged Females,Activity
14,1001363,AFP,20200122,,23,Activity,0,1,1,6.666666667,Aged Females,Activity
15,1001363,AFP,20200123,,00,Activity,0,14,14,93.33333333,Aged Females,Activity
16,1001363,AFP,20200123,,01,Activity,0,7,7,46.66666667,Aged Females,Activity
17,1001363,AFP,20200123,,02,Activity,0,10,10,66.66666667,Aged Females,Activity
18,1001363,AFP,20200123,,03,Activity,0,8,8,53.33333333,Aged Females,Activity
19,1001363,AFP,20200123,,04,Activity,0,8,8,53.33333333,Aged Females,Activity
20,1001363,AFP,20200123,,05,Activity,0,11,11,73.33333333,Aged Females,Activity
21,1001363,AFP,20200123,,20,Activity,0,12,12,80,Aged Females,Activity
22,1001363,AFP,20200123,,21,Activity,0,11,11,73.33333333,Aged Females,Activity
23,1001363,AFP,20200123,,22,Activity,0,8,8,53.33333333,Aged Females,Activity
24,1001363,AFP,20200123,,23,Activity,0,8,8,53.33333333,Aged Females,Activity
25,1001363,AFP,20200124,,00,Activity,0,7,7,46.66666667,Aged Females,Activity
26,1001363,AFP,20200124,,01,Activity,0,13,13,86.66666667,Aged Females,Activity
27,1001363,AFP,20200124,,02,Activity,0,3,3,20,Aged Females,Activity
28,1001363,AFP,20200124,,03,Activity,0,8,8,53.33333333,Aged Females,Activity
29,1001363,AFP,20200124,,04,Activity,0,8,8,53.33333333,Aged Females,Activity
30,1001363,AFP,20200124,,05,Activity,0,3,3,20,Aged Females,Activity
31,1001363,AFP,20200130,,20,Activity,0,14,14,93.33333333,Aged Females,Activity
32,1001363,AFP,20200130,,21,Activity,0,0,0,0,Aged Females,Activity
33,1001363,AFP,20200130,,22,Activity,0,11,11,73.33333333,Aged Females,Activity
34,1001363,AFP,20200130,,23,Activity,0,0,0,0,Aged Females,Activity
35,1001363,AFP,20200131,,00,Activity,0,14,14,93.33333333,Aged Females,Activity
36,1001363,AFP,20200131,,01,Activity,0,4,4,26.66666667,Aged Females,Activity
37,1001363,AFP,20200131,,02,Activity,0,11,11,73.33333333,Aged Females,Activity
38,1001363,AFP,20200131,,03,Activity,0,6,6,40,Aged Females,Activity
39,1001363,AFP,20200131,,04,Activity,0,5,5,33.33333333,Aged Females,Activity
40,1001363,AFP,20200131,,05,Activity,0,3,3,20,Aged Females,Activity
41,1001363,AFP,20200131,,20,Activity,0,8,8,53.33333333,Aged Females,Activity
42,1001363,AFP,20200131,,21,Activity,0,14,14,93.33333333,Aged Females,Activity
43,1001363,AFP,20200131,,22,Activity,0,5,5,33.33333333,Aged Females,Activity
44,1001363,AFP,20200131,,23,Activity,0,15,15,100,Aged Females,Activity
45,1001363,AFP,20200201,,00,Activity,0,7,7,46.66666667,Aged Females,Activity
46,1001363,AFP,20200201,,01,Activity,0,14,14,93.33333333,Aged Females,Activity
47,1001363,AFP,20200201,,02,Activity,0,10,10,66.66666667,Aged Females,Activity
48,1001363,AFP,20200201,,03,Activity,0,6,6,40,Aged Females,Activity
49,1001363,AFP,20200201,,04,Activity,0,7,7,46.66666667,Aged Females,Activity
50,1001363,AFP,20200201,,05,Activity,0,6,6,40,Aged Females,Activity
51,1001363,AFP,20200201,,20,Activity,0,15,15,100,Aged Females,Activity
52,1001363,AFP,20200201,,21,Activity,0,1,1,6.666666667,Aged Females,Activity
53,1001363,AFP,20200201,,22,Activity,0,4,4,26.66666667,Aged Females,Activity
54,1001363,AFP,20200201,,23,Activity,0,8,8,53.33333333,Aged Females,Activity
55,1001363,AFP,20200202,,00,Activity,0,8,8,53.33333333,Aged Females,Activity
56,1001363,AFP,20200202,,01,Activity,0,4,4,26.66666667,Aged Females,Activity
57,1001363,AFP,20200202,,02,Activity,0,5,5,33.33333333,Aged Females,Activity
58,1001363,AFP,20200202,,03,Activity,0,11,11,73.33333333,Aged Females,Activity
59,1001363,AFP,20200202,,04,Activity,0,10,10,66.66666667,Aged Females,Activity
60,1001363,AFP,20200202,,05,Activity,0,3,3,20,Aged Females,Activity
61,1001363,AFP,20200202,,20,Activity,0,10,10,66.66666667,Aged Females,Activity
62,1001363,AFP,20200202,,21,Activity,0,6,6,40,Aged Females,Activity
63,1001363,AFP,20200202,,22,Activity,0,3,3,20,Aged Females,Activity
64,1001363,AFP,20200202,,23,Activity,0,6,6,40,Aged Females,Activity
65,1062366,YMP,20200915,,20,Activity,0,6,6,40,Male Pairs,Activity
66,1062366,YMP,20200915,,21,Activity,0,15,15,100,Male Pairs,Activity
67,1062366,YMP,20200915,,22,Activity,0,16,15,100,Male Pairs,Activity
68,1062366,YMP,20200915,,23,Activity,0,14,14,93.33333333,Male Pairs,Activity
69,1062366,YMP,20200916,,00,Activity,0,4,4,26.66666667,Male Pairs,Activity
70,1062366,YMP,20200916,,01,Activity,0,15,15,100,Male Pairs,Activity
71,1062366,YMP,20200916,,02,Activity,0,11,11,73.33333333,Male Pairs,Activity
72,1062366,YMP,20200916,,03,Activity,0,14,14,93.33333333,Male Pairs,Activity
73,1062366,YMP,20200916,,04,Activity,0,11,11,73.33333333,Male Pairs,Activity
74,1062366,YMP,20200916,,05,Activity,0,10,10,66.66666667,Male Pairs,Activity
75,1062366,YMP,20200916,,20,Activity,0,2,2,13.33333333,Male Pairs,Activity
76,1062366,YMP,20200916,,21,Activity,0,15,15,100,Male Pairs,Activity
77,1062366,YMP,20200916,,22,Activity,0,15,15,100,Male Pairs,Activity
78,1062366,YMP,20200916,,23,Activity,0,15,15,100,Male Pairs,Activity
79,1062366,YMP,20200917,,00,Activity,0,5,5,33.33333333,Male Pairs,Activity
80,1062366,YMP,20200917,,01,Activity,0,15,15,100,Male Pairs,Activity
81,1062366,YMP,20200917,,02,Activity,0,10,10,66.66666667,Male Pairs,Activity
82,1062366,YMP,20200917,,03,Activity,0,6,6,40,Male Pairs,Activity
83,1062366,YMP,20200917,,04,Activity,0,16,15,100,Male Pairs,Activity
84,1062366,YMP,20200917,,05,Activity,0,6,6,40,Male Pairs,Activity
85,1062366,YMP,20200917,,20,Activity,0,10,10,66.66666667,Male Pairs,Activity
86,1062366,YMP,20200917,,21,Activity,0,15,15,100,Male Pairs,Activity
87,1062366,YMP,20200917,,22,Activity,0,15,15,100,Male Pairs,Activity
88,1062366,YMP,20200917,,23,Activity,0,15,15,100,Male Pairs,Activity
89,1062366,YMP,20200918,,00,Activity,0,3,3,20,Male Pairs,Activity
90,1062366,YMP,20200918,,01,Activity,0,15,15,100,Male Pairs,Activity
91,1062366,YMP,20200918,,02,Activity,0,8,8,53.33333333,Male Pairs,Activity
92,1062366,YMP,20200918,,03,Activity,0,17,15,100,Male Pairs,Activity
93,1062366,YMP,20200918,,04,Activity,0,14,14,93.33333333,Male Pairs,Activity
94,1062366,YMP,20200918,,05,Activity,0,6,6,40,Male Pairs,Activity
95,1062366,YMP,20200922,,20,Activity,0,1,1,6.666666667,Male Pairs,Activity
96,1062366,YMP,20200922,,21,Activity,0,15,15,100,Male Pairs,Activity
97,1062366,YMP,20200922,,23,Activity,0,3,3,20,Male Pairs,Activity
98,1062366,YMP,20200923,,00,Activity,0,5,5,33.33333333,Male Pairs,Activity
99,1062366,YMP,20200923,,01,Activity,0,3,3,20,Male Pairs,Activity
100,1062366,YMP,20200923,,02,Activity,0,6,6,40,Male Pairs,Activity
101,1062366,YMP,20200923,,03,Activity,0,6,6,40,Male Pairs,Activity
102,1062366,YMP,20200923,,04,Activity,0,2,2,13.33333333,Male Pairs,Activity
103,1062366,YMP,20200923,,05,Activity,0,7,7,46.66666667,Male Pairs,Activity
104,1062366,YMP,20200923,,20,Activity,0,8,8,53.33333333,Male Pairs,Activity
105,1062366,YMP,20200923,,21,Activity,0,15,15,100,Male Pairs,Activity
106,1062366,YMP,20200923,,22,Activity,0,15,15,100,Male Pairs,Activity
107,1062366,YMP,20200923,,23,Activity,0,15,15,100,Male Pairs,Activity
108,1062366,YMP,20200924,,00,Activity,0,5,5,33.33333333,Male Pairs,Activity
109,1062366,YMP,20200924,,01,Activity,0,14,14,93.33333333,Male Pairs,Activity
110,1062366,YMP,20200924,,02,Activity,0,6,6,40,Male Pairs,Activity
111,1062366,YMP,20200924,,03,Activity,0,8,8,53.33333333,Male Pairs,Activity
112,1062366,YMP,20200924,,04,Activity,0,15,15,100,Male Pairs,Activity
113,1062366,YMP,20200924,,05,Activity,0,10,10,66.66666667,Male Pairs,Activity
114,1062366,YMP,20200924,,20,Activity,0,7,7,46.66666667,Male Pairs,Activity
115,1062366,YMP,20200924,,21,Activity,0,15,15,100,Male Pairs,Activity
116,1062366,YMP,20200924,,22,Activity,0,5,5,33.33333333,Male Pairs,Activity
117,1062366,YMP,20200924,,23,Activity,0,6,6,40,Male Pairs,Activity
118,1062366,YMP,20200925,,00,Activity,0,8,8,53.33333333,Male Pairs,Activity
119,1062366,YMP,20200925,,01,Activity,0,2,2,13.33333333,Male Pairs,Activity
120,1062366,YMP,20200925,,02,Activity,0,6,6,40,Male Pairs,Activity
121,1062366,YMP,20200925,,03,Activity,0,15,15,100,Male Pairs,Activity
122,1062366,YMP,20200925,,04,Activity,0,15,15,100,Male Pairs,Activity
123,1062366,YMP,20200925,,05,Activity,0,8,8,53.33333333,Male Pairs,Activity
124,1062366,YMP,20200929,,20,Activity,0,9,9,60,Male Pairs,Activity
125,1062366,YMP,20200929,,21,Activity,0,16,15,100,Male Pairs,Activity
126,1062366,YMP,20200929,,22,Activity,0,3,3,20,Male Pairs,Activity
127,1062366,YMP,20200929,,23,Activity,0,11,11,73.33333333,Male Pairs,Activity
128,1062366,YMP,20200930,,00,Activity,0,2,2,13.33333333,Male Pairs,Activity
129,1062366,YMP,20200930,,01,Activity,0,13,13,86.66666667,Male Pairs,Activity
130,1062366,YMP,20200930,,02,Activity,0,15,15,100,Male Pairs,Activity
131,1062366,YMP,20200930,,03,Activity,0,8,8,53.33333333,Male Pairs,Activity
132,1062366,YMP,20200930,,04,Activity,0,14,14,93.33333333,Male Pairs,Activity
133,1062366,YMP,20200930,,05,Activity,0,15,15,100,Male Pairs,Activity
134,1062366,YMP,20200930,,20,Activity,0,3,3,20,Male Pairs,Activity
135,1062366,YMP,20200930,,21,Activity,0,15,15,100,Male Pairs,Activity
136,1062366,YMP,20200930,,22,Activity,0,2,2,13.33333333,Male Pairs,Activity
137,1062366,YMP,20200930,,23,Activity,0,2,2,13.33333333,Male Pairs,Activity
138,1062366,YMP,20201001,,00,Activity,0,10,10,66.66666667,Male Pairs,Activity
139,1062366,YMP,20201001,,01,Activity,0,16,15,100,Male Pairs,Activity
140,1062366,YMP,20201001,,02,Activity,0,3,3,20,Male Pairs,Activity
141,1062366,YMP,20201001,,03,Activity,0,15,15,100,Male Pairs,Activity
142,1062366,YMP,20201001,,04,Activity,0,15,15,100,Male Pairs,Activity
143,1062366,YMP,20201001,,05,Activity,0,11,11,73.33333333,Male Pairs,Activity
144,1062366,YMP,20201001,,20,Activity,0,6,6,40,Male Pairs,Activity
145,1062366,YMP,20201001,,21,Activity,0,15,15,100,Male Pairs,Activity
146,1062366,YMP,20201001,,22,Activity,0,3,3,20,Male Pairs,Activity
147,1062366,YMP,20201001,,23,Activity,0,12,12,80,Male Pairs,Activity
148,1062366,YMP,20201002,,00,Activity,0,9,9,60,Male Pairs,Activity
149,1062366,YMP,20201002,,01,Activity,0,15,15,100,Male Pairs,Activity
150,1062366,YMP,20201002,,02,Activity,0,14,14,93.33333333,Male Pairs,Activity
151,1062366,YMP,20201002,,03,Activity,0,10,10,66.66666667,Male Pairs,Activity
152,1062366,YMP,20201002,,04,Activity,0,15,15,100,Male Pairs,Activity
153,1062366,YMP,20201002,,05,Activity,0,12,12,80,Male Pairs,Activity
154,1064394,YMP,20200915,,20,Activity,0,4,4,26.66666667,Male Pairs,Activity
155,1064394,YMP,20200915,,21,Activity,0,15,15,100,Male Pairs,Activity
156,1064394,YMP,20200915,,22,Activity,0,2,2,13.33333333,Male Pairs,Activity
157,1064394,YMP,20200915,,23,Activity,0,11,11,73.33333333,Male Pairs,Activity
158,1064394,YMP,20200916,,00,Activity,0,3,3,20,Male Pairs,Activity
159,1064394,YMP,20200916,,01,Activity,0,14,14,93.33333333,Male Pairs,Activity
160,1064394,YMP,20200916,,02,Activity,0,8,8,53.33333333,Male Pairs,Activity
161,1064394,YMP,20200916,,03,Activity,0,10,10,66.66666667,Male Pairs,Activity
162,1064394,YMP,20200916,,04,Activity,0,14,14,93.33333333,Male Pairs,Activity
163,1064394,YMP,20200916,,05,Activity,0,14,14,93.33333333,Male Pairs,Activity
164,1064394,YMP,20200916,,20,Activity,0,4,4,26.66666667,Male Pairs,Activity
165,1064394,YMP,20200916,,21,Activity,0,15,15,100,Male Pairs,Activity
166,1064394,YMP,20200916,,22,Activity,0,5,5,33.33333333,Male Pairs,Activity
167,1064394,YMP,20200916,,23,Activity,0,15,15,100,Male Pairs,Activity
168,1064394,YMP,20200917,,00,Activity,0,6,6,40,Male Pairs,Activity
169,1064394,YMP,20200917,,01,Activity,0,12,12,80,Male Pairs,Activity
170,1064394,YMP,20200917,,02,Activity,0,10,10,66.66666667,Male Pairs,Activity
171,1064394,YMP,20200917,,03,Activity,0,8,8,53.33333333,Male Pairs,Activity
172,1064394,YMP,20200917,,04,Activity,0,15,15,100,Male Pairs,Activity
