"","ds(matrix, norm = FALSE, type = ""P"")"
"1062366-Week1.1062366-1",-1
"1062366-Week1.1062366-2",1
"1062366-Week2.1062366-1",-1
"1062366-Week2.1062366-2",1
"1062366-Week3.1062366-1",-1
"1062366-Week3.1062366-2",1
"1064394-Week1.1064394-1",1
"1064394-Week1.1064394-2",-1
"1064394-Week2.1064394-1",1
"1064394-Week2.1064394-2",-1
"1064394-Week3.1064394-1",1
"1064394-Week3.1064394-2",-1
"1074455-Week1.1074455-1",1
"1074455-Week1.1074455-2",-1
"1074455-Week2.1074455-1",1
"1074455-Week2.1074455-2",-1
"1074455-Week3.1074455-1",1
"1074455-Week3.1074455-2",-1
"922587-Week1.922587-1",1
"922587-Week1.922587-2",-1
"927693-Week1.927693-1",1
"927693-Week1.927693-2",-1
"957162-Week1.957162-1",-0.459459459459459
"957162-Week1.957162-2",0.459459459459459
"957162-Week2.957162-1",-0.555555555555556
"957162-Week2.957162-2",0.555555555555556
"957162-Week3.957162-1",0.310344827586207
"957162-Week3.957162-2",-0.310344827586207
