Cage,AnimalID,ds,DumCage,dom_status_ds
922587,922587-1,1,E,Dom
922587,922587-2,-1,E,Sub
927693,927693-1,1,A,Dom
927693,927693-2,-1,A,Sub
957162,957162-1,-0.247311828,D,Sub
957162,957162-2,0.247311828,D,Dom
1062366,1062366-1,-1,C,Sub
1062366,1062366-2,1,C,Dom
1064394,1064394-1,1,B,Dom
1064394,1064394-2,-1,B,Sub
1074455,1074455-1,1,F,Dom
1074455,1074455-2,-1,F,Sub
990342,990342-1,0,G,Unm
990342,990342-2,0,G,Unm
1001363,1001363-1,0,H,Unm
1001363,1001363-2,0,H,Unm
925878,925878-1,0,I,Unm
925878,925878-2,0,I,Unm
